  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7                 7                9                  0.00226166                264.809                  1489                   0                            11117.1                       0
      7.05              7                9                  0.00315762                286.967                  1811                   0                            11125.6                       0
      7.1               7                9                  0.00377488                291.658                  1889                   0                            11026                         0
      7.15              7                9                  0.00490147                311.363                  2149                   0                            11223.6                       0
      7.2               7                9                  0.00654229                340.085                  2511                   0                            11086.7                       0
      7.3               7                9                  0.00982294                371.534                  2894                   0                            11189.7                       0
      7.5               7                9                  0.0223014                 452.251                  3924                   0                            11224.1                       0
      7.75              7                9                  0.0542131                 566.638                  5216                   0                            11131.1                       0
      7.8               7                9                  0.065182                  600.563                  5589                   0                            11114.6                       0
      8                 7                9                  0.125611                  717.375                  6882                   0                            11064.1                       0
      8.2               7                9                  0.211804                  815.67                   7934                   0                            11115.2                       0
      8.3               7                9                  0.28324                   877.422                  8539                   0                            11248.4                       0
      8.5               7                9                  0.454393                  966.837                  9415                   0                            11185.1                       0
      8.75              7                9                  0.760782                 1063.08                  10332                   1.09512e-05                  11265.7                       1
      8.8               7                9                  0.81788                  1077.17                  10452                   0                            11188.8                       0
      9                 7                9                  1.12619                  1118.32                  10882                   1.77381e-05                  11037.3                       1
      9.2               7                9                  1.43608                  1117.64                  10924                   0                            11194.7                       0
      9.3               7                9                  1.65355                  1124.86                  10987                   0.000666311                  11191.8                       4
      9.5               7                9                  1.93644                  1112.09                  10796                   0.00205323                   11156.3                       4
      9.75              7                9                  2.29568                  1075.93                  10593                   0.00797098                   11142.7                      14
      9.8               7                9                  2.24787                  1084.89                  10684                   0.0114804                    11112.3                      16
     10                 7                9                  2.45362                  1054.78                  10447                   0.0126838                    11160.2                      22
     10.2               7                9                  2.69506                  1020.72                   9977                   0.0273833                    11084.3                      24
     10.3               7                9                  2.4136                    995.148                  9910                   0.0426462                    11149.7                      30
     10.5               7                9                  2.58364                   998.392                  9857                   0.0365709                    11152.7                      31
     10.75              7                9                  2.56365                   962.062                  9458                   0.0569776                    11366.9                      34
     10.8               7                9                  2.50607                   952.562                  9465                   0.0731051                    11211.9                      37
     11                 7                9                  2.6882                    955.664                  9456                   0.0638348                    11171.8                      33
     11.2               7                9                  2.52113                   926.266                  9220                   0.0952196                    11120.9                      31
     11.3               7                9                  2.6048                    924.992                  9107                   0.0779386                    11193.2                      30
     11.5               7                9                  2.37012                   902.013                  8937                   0.0970447                    11167.6                      33
     11.75              7                9                  2.93293                   913.66                   8964                   0.105948                     11075.2                      18
     11.8               7                9                  2.41685                   908.153                  8899                   0.0714134                    11231.4                      26
     12                 7                9                  2.33223                   885.437                  8766                   0.0442133                    11226.1                      24

