  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7                 7                9                  0.00468824                373.881                  2927                   0                            11179.6                       0
      7.05              7                9                  0.00595615                391.409                  3214                   0                            11174.7                       0
      7.1               7                9                  0.00717698                416.71                   3414                   0                            11132.6                       0
      7.15              7                9                  0.00887808                430.267                  3648                   0                            11121.2                       0
      7.2               7                9                  0.0109815                 450.208                  3925                   0                            11091.4                       0
      7.3               7                9                  0.0169256                 516.431                  4654                   0                            11192                         0
      7.5               7                9                  0.0356312                 619.852                  5806                   0                            11202.4                       0
      7.75              7                9                  0.0827135                 759.936                  7343                   0                            11132.3                       0
      7.8               7                9                  0.0969579                 796.143                  7691                   0                            11254.2                       0
      8                 7                9                  0.176305                  921.649                  8948                   0                            11093.3                       0
      8.2               7                9                  0.311198                 1070.06                  10380                   0                            11163.3                       0
      8.3               7                9                  0.38203                  1090.05                  10549                   0                            11228.7                       0
      8.5               7                9                  0.611608                 1216.16                  11736                   0                            11120.8                       0
      8.75              7                9                  1.02003                  1322.48                  12635                   0                            11195.8                       0
      8.8               7                9                  1.06844                  1321.37                  12668                   0                            11138.8                       0
      9                 7                9                  1.43094                  1355.17                  12994                   0                            11157                         0
      9.2               7                9                  1.87939                  1392.66                  13385                   4.67751e-05                  11223.6                       2
      9.3               7                9                  2.03767                  1394.23                  13525                   0.000568835                  11225.4                       6
      9.5               7                9                  2.33332                  1358.73                  13291                   0.00403017                   11118.3                      14
      9.75              7                9                  2.79098                  1339.01                  13068                   0.00905153                   11156.8                      15
      9.8               7                9                  3.02694                  1337.49                  12913                   0.0199936                    11236.2                      20
     10                 7                9                  2.86521                  1288.37                  12632                   0.0206146                    11098.5                      20
     10.2               7                9                  2.89231                  1231.95                  12120                   0.02517                      11306.7                      28
     10.3               7                9                  3.03691                  1254.23                  12243                   0.0261867                    11334.3                      23
     10.5               7                9                  3.0566                   1238.13                  12036                   0.0394974                    10968.8                      31
     10.75              7                9                  3.12641                  1200.41                  11829                   0.0396803                    11123.8                      27
     10.8               7                9                  2.99973                  1198.54                  11835                   0.0589751                    11011.2                      31
     11                 7                9                  3.05563                  1171.38                  11580                   0.0853815                    11171.6                      28
     11.2               7                9                  2.96253                  1153.64                  11487                   0.0671378                    11184.8                      24
     11.3               7                9                  2.87357                  1161.32                  11407                   0.0449244                    11261.7                      22
     11.5               7                9                  2.74073                  1132.46                  11259                   0.0589874                    11235.8                      22
     11.75              7                9                  2.76099                  1161.75                  11493                   0.084547                     11249.4                      21
     11.8               7                9                  2.46864                  1114.81                  11143                   0.0747776                    11255.3                      19
     12                 7                9                  2.41461                  1112.02                  11162                   0.0171564                    11229.5                       9

