  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                  0.00107896                139.385                   747                   0                            5955.42                       0
      7.05            6.4                9                  0.001524                  145.482                   856                   0                            6032.71                       0
      7.1             6.4                9                  0.00178971                149.339                   866                   0                            6007.17                       0
      7.15            6.4                9                  0.00191696                149.069                   897                   0                            5999.34                       0
      7.2             6.4                9                  0.00235364                146.695                   964                   0                            6091.22                       0
      7.3             6.4                9                  0.0034535                 151.907                  1128                   0                            5993.71                       0
      7.5             6.4                9                  0.00661332                161.142                  1374                   0                            6083.72                       0
      7.75            6.4                9                  0.0152838                 176.542                  2062                   0                            6021.7                        0
      7.8             6.4                9                  0.0159403                 173.132                  2140                   0                            5986.22                       0
      8               6.4                9                  0.032703                  205.457                  2891                   0                            6018.58                       0
      8.2             6.4                9                  0.0580308                 239.58                   3723                   0                            5988.56                       0
      8.3             6.4                9                  0.0772135                 253.756                  4141                   0                            6028.07                       0
      8.5             6.4                9                  0.126072                  277.08                   4737                   0                            6437.06                       0
      8.75            6.4                9                  0.22946                   320.783                  5725                   0                            5970.71                       0
      8.8             6.4                9                  0.257458                  333.661                  5937                   0                            6002.81                       0
      9               6.4                9                  0.3998                    364.219                  6498                   6.10101e-05                  6039.58                       1
      9.2             6.4                9                  0.529845                  374.771                  6719                   0.000542814                  6020.96                       6
      9.3             6.4                9                  0.625922                  380.026                  6807                   0.000775414                  5982.58                       4
      9.5             6.4                9                  0.758167                  371.488                  6722                   0.00511336                   5926.24                      17
      9.75            6.4                9                  0.958772                  375.875                  6746                   0.00910445                   5995.32                      33
      9.8             6.4                9                  0.970013                  364.017                  6644                   0.0124501                    5963.73                      44
     10               6.4                9                  1.10551                   362.919                  6416                   0.0254673                    6090.03                      61
     10.2             6.4                9                  1.20781                   355.233                  6230                   0.0323224                    6031.23                      52
     10.3             6.4                9                  1.27174                   347.853                  6154                   0.0353268                    5909.6                       56
     10.5             6.4                9                  1.33561                   339.898                  5901                   0.0530541                    5971.41                      52
     10.75            6.4                9                  1.24451                   313.004                  5515                   0.0516892                    6023.55                      59
     10.8             6.4                9                  1.23774                   311.287                  5401                   0.0642164                    6027.96                      63
     11               6.4                9                  1.18843                   306.184                  5247                   0.0887053                    6068                         59
     11.2             6.4                9                  1.46876                   303.925                  5165                   0.0634921                    6018.41                      51
     11.3             6.4                9                  1.22835                   300.273                  5120                   0.0648708                    5972.15                      54
     11.5             6.4                9                  1.50544                   297.202                  4972                   0.0920486                    5974.11                      54
     11.75            6.4                9                  1.41156                   291.127                  4718                   0.0783388                    6071.42                      41
     11.8             6.4                9                  1.18085                   295.332                  4901                   0.0805172                    6015.67                      39
     12               6.4                9                  0.985119                  281.519                  4730                   0.0309133                    5995.14                      30

