  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                  0.00497142                296.856                  4893                   0                            5965.38                       0
      7.05            6.4                9                  0.0056252                 292.146                  4836                   0                            6019.37                       0
      7.1             6.4                9                  0.00663102                295.943                  4875                   0                            5999.24                       0
      7.15            6.4                9                  0.00759932                296.16                   4932                   0                            6079.26                       0
      7.2             6.4                9                  0.00909962                309.291                  5042                   0                            6007.49                       0
      7.3             6.4                9                  0.0114402                 305.837                  5083                   0                            6076.05                       0
      7.5             6.4                9                  0.0198491                 319.715                  5288                   0                            5992.2                        0
      7.75            6.4                9                  0.0346446                 309.813                  5312                   0                            6082.86                       0
      7.8             6.4                9                  0.0395874                 319.059                  5396                   0                            5899.99                       0
      8               6.4                9                  0.0611155                 327.164                  5586                   0                            6029.44                       0
      8.2             6.4                9                  0.0860701                 331.009                  5679                   0                            5986.78                       0
      8.3             6.4                9                  0.107101                  342.026                  6007                   0                            6017.85                       0
      8.5             6.4                9                  0.151714                  338.96                   6065                   0                            5952.51                       0
      8.75            6.4                9                  0.218939                  349.989                  6369                   0                            6092.44                       0
      8.8             6.4                9                  0.227468                  353.715                  6448                   0                            6016.94                       0
      9               6.4                9                  0.298992                  367.014                  6690                   0                            5940.39                       0
      9.2             6.4                9                  0.37406                   368.932                  6815                   0.000651288                  5991.81                       4
      9.75            6.4                9                  0.528384                  366.898                  6824                   0.00723429                   6040.55                      26
      9.8             6.4                9                  0.55751                   362.368                  6625                   0.00628023                   5942.45                      29
     10               6.4                9                  0.606822                  358.233                  6658                   0.0132602                    6089.21                      39
     10.2             6.4                9                  0.613668                  360.682                  6667                   0.0127067                    5996.1                       41
     10.3             6.4                9                  0.645551                  358.478                  6528                   0.0385704                    5929.13                      72
     10.5             6.4                9                  0.707416                  366.39                   6629                   0.0368286                    5998.29                      61
     10.75            6.4                9                  0.644054                  354.136                  6469                   0.0502328                    5956.8                       67
     10.8             6.4                9                  0.708179                  362.898                  6373                   0.0564465                    5982.09                      52
     11               6.4                9                  0.73449                   359.657                  6471                   0.0596427                    6010.74                      58
     11.2             6.4                9                  0.588429                  351.282                  6363                   0.0711848                    6036.82                      62
     11.3             6.4                9                  0.69429                   352.137                  6384                   0.053668                     6025.02                      57
     11.5             6.4                9                  0.650276                  349.683                  6215                   0.0637906                    5996.02                      50
     11.75            6.4                9                  0.714414                  352.355                  6402                   0.0765575                    6036.15                      42
     11.8             6.4                9                  0.609886                  347.145                  6168                   0.0487461                    6022.82                      44
     12               6.4                9                  0.593946                  346.405                  6192                   0.0656989                    5995.78                      42

