  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7                 7                9                  0.00265141                280.079                  1734                   0                            11198.5                       0
      7.05              7                9                  0.00325605                289.271                  1873                   0                            11101.1                       0
      7.1               7                9                  0.00407818                300.186                  2031                   0                            11156.2                       0
      7.15              7                9                  0.00520627                316.941                  2269                   0                            11443.8                       0
      7.2               7                9                  0.00655353                339.161                  2495                   0                            11067.1                       0
      7.3               7                9                  0.0103604                 382.55                   3017                   0                            11081.7                       0
      7.5               7                9                  0.0225792                 452.232                  3959                   0                            11135.2                       0
      7.75              7                9                  0.056735                  583.8                    5397                   0                            11221.6                       0
      7.8               7                9                  0.0643677                 595.858                  5576                   0                            11180.6                       0
      8                 7                9                  0.122735                  711.042                  6782                   0                            11153.1                       0
      8.2               7                9                  0.209792                  810.117                  7886                   0                            11073.5                       0
      8.3               7                9                  0.281267                  878.783                  8561                   0                            11207                         0
      8.5               7                9                  0.4472                    966.146                  9433                   0                            11201.7                       0
      8.75              7                9                  0.731032                 1056.33                  10289                   0                            11131.1                       0
      8.8               7                9                  0.817106                 1088.38                  10494                   0                            11203.6                       0
      9                 7                9                  1.15053                  1123.91                  10929                   0.000146814                  11065.8                       1
      9.2               7                9                  1.40639                  1126.72                  11066                   0.000228612                  11198.7                       3
      9.3               7                9                  1.62762                  1130.51                  11037                   0.000877945                  11253.7                       4
      9.5               7                9                  1.92088                  1115.66                  10990                   0.0022515                    11071.9                       7
      9.75              7                9                  2.25093                  1071.73                  10562                   0.00955089                   11104.7                      17
      9.8               7                9                  2.12828                  1086.99                  10609                   0.00351984                   11079.2                      13
     10                 7                9                  2.39354                  1050.5                   10375                   0.0161935                    11220.3                      21
     10.2               7                9                  2.66607                  1045.7                   10216                   0.0196719                    11257.9                      27
     10.3               7                9                  2.63953                  1006.97                   9934                   0.0272051                    11261.7                      27
     10.5               7                9                  2.59117                   971.758                  9628                   0.0591547                    11126.6                      33
     10.75              7                9                  2.5658                    956.987                  9509                   0.0532522                    11234.2                      28
     10.8               7                9                  2.41078                   946.734                  9480                   0.0584227                    11107                        28
     11                 7                9                  2.66799                   946.926                  9350                   0.0531441                    11206.6                      25
     11.2               7                9                  2.22947                   924.743                  9215                   0.0822563                    11017.3                      33
     11.3               7                9                  2.43201                   920.287                  9190                   0.0431921                    11173.7                      23
     11.5               7                9                  2.82003                   916.58                   9111                   0.103584                     11231                        28
     11.75              7                9                  2.21248                   899.439                  8948                   0.113153                     11406.4                      24
     11.8               7                9                  2.76908                   914.187                  8890                   0.0763755                    11233.8                      16
     12                 7                9                  2.23906                   885.609                  8785                   0.0573608                    11245.6                      17

