 log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                 9.12885e-05                91.7255                   123                   0                            5971.48                       0
      7.05            6.4                9                 0.000159132                93.2701                   187                   0                            5934.65                       0
      7.1             6.4                9                 0.000203172                96.5295                   209                   0                            5980.18                       0
      7.15            6.4                9                 0.000304863                97.3521                   275                   0                            5909.05                       0
      7.2             6.4                9                 0.000417836                96.975                    328                   0                            5954.9                        0
      7.3             6.4                9                 0.000805224                99.8001                   486                   0                            6010.07                       0
      7.5             6.4                9                 0.00246589                114.776                    918                   0                            5983.8                        0
      7.75            6.4                9                 0.00757469                134.589                   1559                   0                            5967.56                       0
      7.8             6.4                9                 0.00880204                139.052                   1644                   0                            6025.16                       0
      8               6.4                9                 0.0198836                 165.194                   2361                   0                            5998.87                       0
      8.2             6.4                9                 0.0396192                 196.618                   3145                   0                            5920.51                       0
      8.3             6.4                9                 0.0548986                 216.209                   3637                   0                            5979.16                       0
      8.5             6.4                9                 0.096791                  248.413                   4330                   0                            6038.4                        0
      8.75            6.4                9                 0.192938                  294.151                   5356                   7.71574e-06                  5965.33                       1
      8.8             6.4                9                 0.209526                  288.944                   5309                   2.02442e-05                  6090.43                       2
      9               6.4                9                 0.32404                   322.29                    6021                   3.63452e-05                  6009.71                       2
      9.2             6.4                9                 0.503331                  342.784                   6233                   0.000442292                  6024.46                       4
      9.3             6.4                9                 0.547861                  343.075                   6373                   0.00179708                   5952.69                      12
      9.5             6.4                9                 0.736723                  347.746                   6417                   0.00291525                   5974.37                      16
      9.75            6.4                9                 0.903401                  344.875                   6358                   0.0112327                    5945.44                      39
      9.8             6.4                9                 0.931267                  341.631                   6290                   0.0118051                    5987.87                      40
     10               6.4                9                 0.948655                  314.375                   5854                   0.0192111                    6090.91                      50
     10.2             6.4                9                 1.08925                   305.752                   5678                   0.0259682                    6094.06                      52
     10.3             6.4                9                 1.01421                   303.11                    5617                   0.0302215                    6094.6                       47
     10.5             6.4                9                 1.10258                   297.324                   5476                   0.0398648                    6084.27                      57
     10.75            6.4                9                 1.05658                   277.141                   5077                   0.0401849                    5985.33                      59
     10.8             6.4                9                 1.20202                   287.2                     5138                   0.0469597                    5966.08                      59
     11               6.4                9                 1.13791                   270.655                   4887                   0.0466997                    5985.68                      44
     11.2             6.4                9                 1.10694                   268.266                   4795                   0.0639562                    5997.07                      53
     11.3             6.4                9                 1.20523                   253.923                   4497                   0.0663693                    5951.73                      52
     11.5             6.4                9                 1.03824                   255.718                   4486                   0.0585151                    6062.74                      40
     11.75            6.4                9                 1.0408                    244.937                   4319                   0.067211                     6041.01                      42
     11.8             6.4                9                 0.936781                  245.217                   4393                   0.0694954                    5994.38                      40
     12               6.4                9                 0.937643                  241.471                   4311                   0.0590571                    6026.81                      37

