 log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                  0.00179286                155.437                  2081                   0                            5995.43                       0
      7.05            6.4                9                  0.00222428                162.561                  2244                   0                            6104.12                       0
      7.1             6.4                9                  0.00292045                174.993                  2553                   0                            5994.39                       0
      7.15            6.4                9                  0.00360029                182.446                  2749                   0                            5995.87                       0
      7.2             6.4                9                  0.00436763                187.293                  2903                   0                            6040.56                       0
      7.3             6.4                9                  0.00677429                208.154                  3415                   0                            5978.06                       0
      7.5             6.4                9                  0.0150383                 257.283                  4473                   0                            5982.68                       0
      7.75            6.4                9                  0.0367584                 320.294                  5838                   0                            5929.05                       0
      7.8             6.4                9                  0.0431012                 335.692                  6120                   0                            5995.69                       0
      8               6.4                9                  0.0845228                 405.564                  7523                   0                            5982.26                       0
      8.2             6.4                9                  0.147216                  459.494                  8546                   0                            5958.42                       0
      8.3             6.4                9                  0.194846                  492.223                  9166                   0                            6007.61                       0
      8.5             6.4                9                  0.323397                  548.309                 10075                   0                            6006.69                       0
      8.75            6.4                9                  0.545458                  609.882                 11130                   0                            5961.98                       0
      8.8             6.4                9                  0.58754                   618.945                 11281                   4.8836e-05                   6055.01                       1
      9               6.4                9                  0.79309                   634.058                 11697                   2.0801e-05                   6033.92                       2
      9.2             6.4                9                  1.08425                   664.826                 12108                   9.33586e-05                  5983.85                       2
      9.3             6.4                9                  1.17069                   656.759                 12104                   0.00124818                   6005.05                       8
      9.5             6.4                9                  1.40843                   663.394                 12175                   0.00406646                   6069.19                      19
      9.75            6.4                9                  1.65331                   640.355                 11949                   0.00629063                   6043.56                      20
      9.8             6.4                9                  1.65816                   641.62                  11987                   0.0141325                    5957.45                      41
     10               6.4                9                  1.87602                   614.463                 11459                   0.0151069                    6013.09                      32
     10.2             6.4                9                  2.01934                   614.72                  11458                   0.0425232                    6087.86                      61
     10.3             6.4                9                  1.9006                    594.029                 11116                   0.033983                     5983.15                      48
     10.5             6.4                9                  1.9868                    591.901                 11102                   0.0494103                    6002.2                       67
     10.75            6.4                9                  2.175                     579.613                 10714                   0.0499826                    6072.03                      43
     10.8             6.4                9                  1.9083                    572.461                 10623                   0.0388929                    6030.44                      52
     11               6.4                9                  1.96875                   559.208                 10577                   0.0555315                    5943.62                      54
     11.2             6.4                9                  1.83581                   536.645                 10280                   0.0819152                    6039.53                      55
     11.3             6.4                9                  1.87636                   542.837                 10244                   0.0555419                    5984.22                      55
     11.5             6.4                9                  1.76935                   536.136                 10232                   0.0668056                    5986.28                      52
     11.75            6.4                9                  1.63523                   521.452                 10016                   0.0658374                    5951.04                      43
     11.8             6.4                9                  1.80674                   528.311                 10098                   0.0713348                    6035.58                      45
     12               6.4                9                  1.63585                   521.139                  9917                   0.0800082                    6065.01                      47

