  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                  0.00128938                150.608                   814                   0                            5981.3                        0
      7.05            6.4                9                  0.00148275                153.113                   721                   0                            6023.39                       0
      7.1             6.4                9                  0.00171781                149.99                    769                   0                            6087.39                       0
      7.15            6.4                9                  0.00175442                145.189                   735                   0                            6029.18                       0
      7.2             6.4                9                  0.00223343                148.427                   750                   0                            5965.3                        0
      7.3             6.4                9                  0.00280943                148.058                   778                   0                            5993.54                       0
      7.5             6.4                9                  0.00463443                149.591                   731                   0                            6004.26                       0
      7.75            6.4                9                  0.00828106                141.721                   700                   0                            6004.16                       0
      7.8             6.4                9                  0.0108859                 151.631                   755                   0                            5983.05                       0
      8               6.4                9                  0.0143058                 142.543                   739                   0                            5978.28                       0
      8.2             6.4                9                  0.021949                  141.481                   698                   0                            6042.2                        0
      8.3             6.4                9                  0.0260615                 139.375                   694                   0                            5969.31                       0
      8.5             6.4                9                  0.0376876                 143.639                   719                   0                            5992.45                       0
      8.75            6.4                9                  0.0471971                 128.421                   697                   0                            6039.27                       0
      8.8             6.4                9                  0.049622                  130.694                   653                   0                            6000.12                       0
      9               6.4                9                  0.0609451                 130.842                   657                   0                            6027.09                       0
      9.3             6.4                9                  0.0796395                 127.263                   615                   0.000753068                  6003.87                      12
      9.5             6.4                9                  0.111533                  129.904                   649                   0.00328283                   6072.66                      23
      9.75            6.4                9                  0.101411                  126.022                   624                   0.0140046                    5982.49                      40
      9.8             6.4                9                  0.0926729                 119.543                   613                   0.012173                     5960.26                      40
     10               6.4                9                  0.0897734                 121.248                   572                   0.0236494                    5980.08                      46
     10.2             6.4                9                  0.187355                  134.384                   558                   0.0306737                    5987.2                       47
     10.3             6.4                9                  0.11325                   125.963                   577                   0.0293333                    6077.89                      58
     10.5             6.4                9                  0.113962                  135.081                   632                   0.0318427                    6021.54                      46
     10.75            6.4                9                  0.105818                  137.066                   573                   0.0420868                    5990.01                      54
     10.8             6.4                9                  0.268578                  126.011                   608                   0.0513184                    5986.71                      59
     11               6.4                9                  0.100052                  126.394                   601                   0.0738329                    5922.85                      49
     11.2             6.4                9                  0.136553                  127.418                   581                   0.0577927                    5942.93                      44
     11.3             6.4                9                  0.178204                  134.346                   616                   0.0556676                    5950.81                      51
     11.5             6.4                9                  0.0914216                 131.697                   578                   0.079291                     5974.86                      43
     11.75            6.4                9                  0.114348                  146.385                   600                   0.0448717                    6031.87                      41
     11.8             6.4                9                  0.086834                  132.608                   582                   0.0787954                    5940.75                      42
     12               6.4                9                  0.155181                  140.192                   604                   0.0580161                    6001.09                      35

