  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                 6.87415e-05                91.0912                    93                   0                            6020.75                       0
      7.05            6.4                9                 0.000112613                95.6968                   134                   0                            5990.49                       0
      7.1             6.4                9                 0.000205513               101.396                    215                   0                            5992.7                        0
      7.15            6.4                9                 0.000263558                97.0839                   238                   0                            6028.55                       0
      7.2             6.4                9                 0.00037255                 96.3865                   293                   0                            5956.98                       0
      7.3             6.4                9                 0.000670864                99.9024                   405                   0                            6123.9                        0
      7.5             6.4                9                 0.00218641                112.882                    819                   0                            6035.93                       0
      7.75            6.4                9                 0.00722179                134.59                    1479                   0                            5947.79                       0
      7.8             6.4                9                 0.00881182                137.912                   1647                   0                            6014.21                       0
      8               6.4                9                 0.0194314                 162.451                   2319                   0                            5956.88                       0
      8.2             6.4                9                 0.0394445                 192.416                   3080                   0                            6043.97                       0
      8.3             6.4                9                 0.0531316                 208.792                   3503                   0                            6020.45                       0
      8.5             6.4                9                 0.094927                  241.789                   4213                   0                            5995.48                       0
      8.75            6.4                9                 0.196905                  295.596                   5354                   2.08354e-05                  5951.56                       1
      8.8             6.4                9                 0.206322                  296.943                   5388                   2.16888e-05                  5948.44                       1
      9               6.4                9                 0.344037                  327.222                   6029                   0.000121288                  5984.56                       3
      9.2             6.4                9                 0.479198                  337.441                   6258                   0.000556193                  5953                          4
      9.3             6.4                9                 0.544648                  337.861                   6328                   0.000421303                  5950.01                      10
      9.5             6.4                9                 0.747259                  347.303                   6425                   0.00156534                   5947.35                      15
      9.75            6.4                9                 0.876837                  341.171                   6354                   0.0111876                    6008.15                      38
      9.8             6.4                9                 0.946428                  347.159                   6328                   0.00579358                   6056.94                      34
     10               6.4                9                 1.03872                   326.296                   6062                   0.0173672                    5946.23                      41
     10.2             6.4                9                 1.04473                   308.117                   5671                   0.0366731                    5946.33                      50
     10.3             6.4                9                 1.11462                   303.443                   5551                   0.039255                     5973.03                      58
     10.5             6.4                9                 1.04662                   293.335                   5363                   0.0377768                    6025.66                      55
     10.75            6.4                9                 1.02421                   276.748                   5008                   0.0529618                    5941.11                      55
     10.8             6.4                9                 1.15686                   275.577                   5002                   0.0435127                    6052.62                      55
     11               6.4                9                 1.13466                   271.165                   4890                   0.0530085                    5973.62                      46
     11.2             6.4                9                 1.05832                   266.55                    4687                   0.0558264                    5996.83                      45
     11.3             6.4                9                 1.02299                   261.835                   4657                   0.0524871                    6020.88                      38
     11.5             6.4                9                 1.07185                   256.775                   4597                   0.0577503                    6048.31                      36
     11.75            6.4                9                 1.08604                   254.212                   4438                   0.048757                     5965.84                      35
     11.8             6.4                9                 1.08018                   247.547                   4345                   0.0532849                    6050.27                      38
     12               6.4                9                 0.789671                  244.933                   4289                   0.0400874                    6027.2                       35

