  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7                 7                9                  0.00211567                259.314                  1411                   0                            11203.9                       0
      7.05              7                9                  0.00281426                271.167                  1642                   0                            11078.3                       0
      7.1               7                9                  0.00372466                293.635                  1876                   0                            11135.6                       0
      7.15              7                9                  0.00466287                308.505                  2060                   0                            11136.6                       0
      7.2               7                9                  0.00591351                320.937                  2270                   0                            11163.3                       0
      7.3               7                9                  0.0092691                 355.845                  2710                   0                            11118.9                       0
      7.5               7                9                  0.020395                  422.447                  3617                   0                            11088.2                       0
      7.75              7                9                  0.0522737                 556.173                  5076                   0                            11261.7                       0
      7.8               7                9                  0.0609921                 578.749                  5341                   0                            11083                         0
      8                 7                9                  0.115588                  674.83                   6444                   0                            11320.3                       0
      8.2               7                9                  0.205611                  787.906                  7614                   0                            11314.7                       0
      8.3               7                9                  0.260898                  825.395                  7996                   0                            11175.5                       0
      8.5               7                9                  0.42867                   929.477                  9036                   0                            11097.5                       0
      8.75              7                9                  0.71265                  1019.29                   9871                   0                            11217.2                       0
      8.8               7                9                  0.770975                 1029.62                  10062                   0                            11234.3                       0
      9                 7                9                  1.11061                  1090.46                  10557                   1.69325e-05                  11298.5                       1
      9.2               7                9                  1.39849                  1089.71                  10555                   2.42837e-05                  11272.8                       1
      9.3               7                9                  1.60886                  1107.87                  10775                   0.000484785                  11089.3                       4
      9.5               7                9                  1.96126                  1111.06                  10860                   0.00309658                   11254.2                       8
      9.75              7                9                  2.23803                  1059.3                   10446                   0.0178792                    11109.6                      14
      9.8               7                9                  2.14266                  1052.67                  10372                   0.0169634                    11198.3                      15
     10                 7                9                  2.51893                  1044.82                  10179                   0.0193846                    11142.5                      18
     10.2               7                9                  2.59492                   984.986                  9646                   0.0268292                    11147.7                      24
     10.3               7                9                  2.515                     982.288                  9723                   0.0364402                    11146.5                      29
     10.5               7                9                  2.56933                   961.637                  9561                   0.0472067                    11148.7                      28
     10.75              7                9                  2.8072                    957.08                   9321                   0.0667044                    11224.3                      34
     10.8               7                9                  2.61606                   910.567                  9024                   0.0690859                    11289.8                      35
     11                 7                9                  2.48139                   907.533                  9006                   0.0351667                    11215.4                      19
     11.2               7                9                  2.66363                   918.568                  9031                   0.0502325                    11130                        29
     11.3               7                9                  2.98165                   911.197                  8746                   0.0880471                    11153.2                      28
     11.5               7                9                  2.5291                    879.06                   8752                   0.0922228                    11093.2                      30
     11.75              7                9                  2.20004                   871.582                  8643                   0.176791                     11170.3                      21
     11.8               7                9                  2.17083                   852.411                  8431                   0.0723673                    11221.3                      22
     12                 7                9                  2.1789                    851.227                  8457                   0.0907116                    11258.7                      23

