 log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                 5.42543e-05                94.4755                    75                   0                            5989.83                       0
      7.05            6.4                9                 6.74323e-05                95.5847                    80                   0                            5994.64                       0
      7.1             6.4                9                 0.000125972                89.0782                   133                   0                            6030.1                        0
      7.15            6.4                9                 0.000217984                91.4677                   200                   0                            6045.46                       0
      7.2             6.4                9                 0.000266761                97.0982                   214                   0                            6039.14                       0
      7.3             6.4                9                 0.000583435                99.3162                   360                   0                            6121.73                       0
      7.5             6.4                9                 0.00181616                101.458                    681                   0                            6044.84                       0
      7.75            6.4                9                 0.00689424                130.787                   1434                   0                            6032.77                       0
      7.8             6.4                9                 0.00781072                134.012                   1479                   0                            6108.91                       0
      8               6.4                9                 0.0182234                 160.205                   2208                   0                            6013.5                        0
      8.2             6.4                9                 0.0370516                 194.012                   3027                   0                            5998.11                       0
      8.3             6.4                9                 0.050362                  205.06                    3318                   0                            5964.85                       0
      8.5             6.4                9                 0.0931408                 239.309                   4149                   0                            6007.29                       0
      8.75            6.4                9                 0.185743                  287.699                   5194                   0                            5997.21                       0
      8.8             6.4                9                 0.1923                    281.922                   5145                   9.70654e-06                  6093.72                       1
      9               6.4                9                 0.330958                  318.415                   5827                   0.00027755                   5975.92                       5
      9.2             6.4                9                 0.464054                  330.639                   6095                   0.000617616                  6086.09                      13
      9.3             6.4                9                 0.543705                  326.423                   6091                   0.00102435                   6017.13                      12
      9.5             6.4                9                 0.67841                   337.184                   6257                   0.00443653                   6024.88                      28
      9.75            6.4                9                 0.93226                   329.351                   6082                   0.00574285                   6144.27                      27
      9.8             6.4                9                 0.944917                  329.355                   6028                   0.00526628                   6018.33                      21
     10               6.4                9                 1.08323                   328.264                   6038                   0.0346114                    5972.99                      44
     10.2             6.4                9                 1.05009                   304.272                   5475                   0.0416672                    6016.21                      57
     10.3             6.4                9                 1.20919                   304.753                   5495                   0.0283258                    5977.32                      47
     10.5             6.4                9                 1.30476                   294.698                   5331                   0.0351311                    6059.7                       42
     10.75            6.4                9                 1.17177                   272.941                   4936                   0.037152                     6017.81                      47
     10.8             6.4                9                 1.04385                   275.254                   4921                   0.0389873                    6028.71                      50
     11               6.4                9                 1.13597                   267.942                   4794                   0.0757377                    6012.5                       68
     11.2             6.4                9                 1.03994                   260.143                   4592                   0.0786745                    5892.1                       68
     11.3             6.4                9                 1.03809                   245.798                   4328                   0.0787565                    6031.13                      49
     11.5             6.4                9                 1.12152                   241.799                   4347                   0.0907451                    5987.81                      49
     11.75            6.4                9                 1.11573                   249.321                   4311                   0.0651635                    5992.83                      43
     11.8             6.4                9                 1.09844                   243.659                   4282                   0.108449                     5953.64                      42
     12               6.4                9                 0.932486                  235.209                   4151                   0.0539242                    6062.1                       36

