  log_e_nu    betaE (deg)    thchmax (deg)    Opt Monte Carlo Integral    Opt Geometry Factor    Opt Passing Events    Radio Monte Carlo Integral    Radio Geometry Factor    Radio Passing Events
----------  -------------  ---------------  --------------------------  ---------------------  --------------------  ----------------------------  -----------------------  ----------------------
      7               6.4                9                 4.57767e-05                93.2874                    63                   0                            5992.41                       0
      7.05            6.4                9                 8.36381e-05                96.4116                    99                   0                            6035.59                       0
      7.1             6.4                9                 0.000149234                99.0241                   159                   0                            5986.91                       0
      7.15            6.4                9                 0.000189276                98.4043                   174                   0                            6075.24                       0
      7.2             6.4                9                 0.000277847                93.09                     221                   0                            5989.36                       0
      7.3             6.4                9                 0.000611706               103.998                    377                   0                            6001.77                       0
      7.5             6.4                9                 0.001694                  105.128                    641                   0                            6072.63                       0
      7.75            6.4                9                 0.00627961                127.544                   1323                   0                            5954.88                       0
      7.8             6.4                9                 0.00777618                133.199                   1470                   0                            6030.4                        0
      8               6.4                9                 0.0183787                 161.417                   2253                   0                            6008.98                       0
      8.2             6.4                9                 0.0352379                 185.099                   2873                   0                            5950.29                       0
      8.3             6.4                9                 0.0516093                 203.289                   3319                   0                            5955.05                       0
      8.5             6.4                9                 0.0942419                 247.39                    4271                   0                            6039.71                       0
      8.75            6.4                9                 0.179817                  278.66                    4960                   1.557e-05                    6005.1                        1
      8.8             6.4                9                 0.204655                  288.918                   5247                   0                            6095.73                       0
      9               6.4                9                 0.332515                  318.705                   5744                   0.000139256                  6008.46                       4
      9.2             6.4                9                 0.45613                   330.743                   6078                   0.000634832                  6105.42                      10
      9.3             6.4                9                 0.581565                  341.99                    6263                   0.00125454                   6031.87                      14
      9.5             6.4                9                 0.714615                  341.659                   6330                   0.00410621                   5951.83                      20
      9.75            6.4                9                 0.885577                  334.449                   6287                   0.00782324                   6007.66                      30
      9.8             6.4                9                 0.938812                  335.286                   6090                   0.0108683                    6036.46                      36
     10               6.4                9                 0.92795                   312.71                    5821                   0.0221123                    6062.48                      53
     10.2             6.4                9                 1.06029                   301.894                   5603                   0.0267418                    6017.63                      51
     10.3             6.4                9                 1.1422                    307.076                   5589                   0.0353008                    5904.43                      68
     10.5             6.4                9                 1.1528                    291.391                   5246                   0.0289674                    5992.15                      40
     10.75            6.4                9                 1.18909                   279.859                   5021                   0.0539105                    6036.32                      53
     10.8             6.4                9                 1.12226                   280.274                   4954                   0.0519824                    5974.56                      52
     11               6.4                9                 1.07867                   264.101                   4671                   0.0592987                    5997.66                      51
     11.2             6.4                9                 1.1589                    253.696                   4491                   0.0825298                    5955.35                      67
     11.3             6.4                9                 1.16564                   250.922                   4461                   0.0666951                    6011.94                      51
     11.5             6.4                9                 1.00602                   243.408                   4279                   0.0820574                    6071.55                      45
     11.75            6.4                9                 1.01517                   248.245                   4413                   0.0494985                    5963.31                      37
     11.8             6.4                9                 1.0257                    238.025                   4183                   0.0686703                    6012.76                      37
     12               6.4                9                 1.0193                    235.094                   4176                   0.0814075                    6056.13                      44

